commit-id	line-idx	line-score	label
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	0	10.11167903815821	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	1	4.399855750109348	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	2	3.7812732692767588	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	3	7.190891144710227	1.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	4	6.635228515220697	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	5	3.601166726371938	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	6	10.194740272052385	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	7	2.6155579340495274	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	8	4.892473692503844	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	9	5.577717866495066	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	10	4.0738955399632175	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	11	4.393158981578378	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	12	3.878058579077734	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	13	2.1068793349473496	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	14	5.918704652495895	1.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	15	1.8700725722799434	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	16	1.8762329640014326	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	17	4.396945152674689	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	18	2.604434902861013	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	19	2.427259775976588	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	20	1.172976046609129	0.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	21	3.5480268667700607	1.0
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0	22	5.045638560931083	0.0
1f73722ffb375010e74eaa5b99004ad88df93bf6	0	7.665816245065834	0.0
1f73722ffb375010e74eaa5b99004ad88df93bf6	1	3.8724991660909973	0.0
1f73722ffb375010e74eaa5b99004ad88df93bf6	2	6.583847875362235	0.0
1f73722ffb375010e74eaa5b99004ad88df93bf6	3	6.022069206536049	0.0
1f73722ffb375010e74eaa5b99004ad88df93bf6	4	6.2969127007748344	0.0
